id,text_1,text_2,text_3,text_4
EN,Learn to drink enough water!,Check body water balance!,Remember water consuming!,Use helpful advice!
RU,Пей много воды!,Следи за водным балансом!,Имей в виду нюансы!,Используй полезные советы!
DE,Trink genug Wasser!,Überprüfe deine Wasserbilanz!,Zieh Wasserkonsum in Betracht!,Benutz die nützliche App!
FR,Apprenez à boire plus d'eau!,Vérifiez votre balance!,Suivez l'historique!,Quelques conseils utiles!
ES,¡Aprende a tomar más agua!,¡Manten el balance de agua!,¡Desarrolla tus conocimientos!,¡Siguie los consejos expuestos!
IT,Impara a bere abbastanza acqua!,Controlla l'equilibrio idrico del tuo corpo!,Segui le statistiche!,Segui dei consigli utili!
PT,Beba muita água!,Assista o equilíbrio da água!,Tenha em mente as nuances!,Utilize as dicas úteis!
JP,水分をちゃんと＊取って！,体内の水分状態を＊確認しよう！,具体的に調整！,アドバイスも＊超役立つ！
CN,要多喝水一点！,检查身体的水分平衡！,记住水有细微差别！,使用有用的建议！
KO,물 충분히 마셔봅시다!,체수분 균형 확인하세요!,물 소비 수준 기억하세요!,유용한 조언 사용하세요!
